model,V_channel_m_s,Hf_mm,b_mm,L_mm,W_mm,tf_mm,number_of_fins,number_of_channels,used_width_mm,Dh_mm,flow_area_m2,fin_side_area_m2,base_exposed_area_m2,total_geometric_area_m2,volumetric_flow_CFM,volumetric_flow_m3_h,m_dot_kg_s,C_air_W_K,Re_Dh,Re_note,Re_b,Re_star,Nu,h_W_m2K,eta_fin,A_eff_m2,hA_eff_W_K,NTU,epsilon,R_TIM_K_W,R_spreading_contact_base_K_W,R_hs_K_W,R_total_K_W,T_chip_C,thermal_margin_C,T_air_out_chip_C,T_air_out_full_board_C,deltaT_air_chip_K,deltaT_air_full_board_K,dynamic_pressure_Pa,pressure_drop_channel_Pa_approx,status
teertstra,2,25,4,120,80.0,1.0,16,15,76.0,6.896551724137931,0.0015,0.096,0.0072,0.1032,6.3566400000000005,10.8,0.003552,3.576864,882.7586206896551,Laminar indicator,512.0,17.066666666666666,3.183764700763548,20.93325290752033,0.9542044790139721,0.09880362998534133,2.0682813746642092,0.5782387517848622,0.43911464452473437,0.01646090534979424,0.03,0.6366777183311433,0.6831386236809375,195.78465592023437,-110.78465592023437,94.89362749044973,114.46384318777567,69.89362749044973,89.46384318777567,2.368,4.480848,FAIL
teertstra,2,25,4,150,80.0,1.0,16,15,76.0,6.896551724137931,0.0015,0.12,0.009,0.129,6.3566400000000005,10.8,0.003552,3.576864,882.7586206896551,Laminar indicator,512.0,13.653333333333334,2.855485430269237,18.774816704020235,0.9586927149749886,0.12404312579699862,2.328886950232373,0.6510974278676441,0.4785268165751786,0.01646090534979424,0.03,0.5842400055292963,0.6307009108790905,182.67522771977264,-97.67522771977264,94.89362749044973,114.46384318777567,69.89362749044973,89.46384318777567,2.368,5.60106,FAIL
teertstra,2,25,5,80,80.0,1.0,13,12,73.0,8.333333333333334,0.0015,0.052000000000000005,0.0048,0.0568,6.3566400000000005,10.8,0.003552,3.576864,1066.6666666666667,Laminar indicator,640.0,40.0,4.645322165988838,24.43439459310129,0.9470311872694872,0.05404562173801334,1.3205720475761107,0.3691982830703406,0.3087116739117839,0.01646090534979424,0.03,0.90561690272098,0.9520778080707742,263.01945201769354,-178.01945201769354,94.89362749044973,114.46384318777567,69.89362749044973,89.46384318777567,2.368,2.0459519999999998,FAIL
teertstra,2,25,5,100,80.0,1.0,13,12,73.0,8.333333333333334,0.0015,0.065,0.006,0.07100000000000001,6.3566400000000005,10.8,0.003552,3.576864,1066.6666666666667,Laminar indicator,640.0,32.0,4.21957095519198,22.194943224309814,0.9516043596031085,0.06785428337420206,1.5060219670166441,0.4210453534203828,0.34363966745196817,0.01646090534979424,0.03,0.8135687944142134,0.8600296997640076,240.0074249410019,-155.0074249410019,94.89362749044973,114.46384318777567,69.89362749044973,89.46384318777567,2.368,2.55744,FAIL
teertstra,2,25,5,120,80.0,1.0,13,12,73.0,8.333333333333334,0.0015,0.07800000000000001,0.0072,0.08520000000000001,6.3566400000000005,10.8,0.003552,3.576864,1066.6666666666667,Laminar indicator,640.0,26.666666666666668,3.8974441780072553,20.500556376318162,0.955100152190288,0.08169781187084248,1.6748505980800414,0.46824553521745343,0.3739002247614581,0.01646090534979424,0.03,0.7477249047928833,0.7941858101426775,223.54645253566937,-138.54645253566937,94.89362749044973,114.46384318777567,69.89362749044973,89.46384318777567,2.368,3.068928,FAIL
teertstra,2,25,5,150,80.0,1.0,13,12,73.0,8.333333333333334,0.0015,0.0975,0.009,0.1065,6.3566400000000005,10.8,0.003552,3.576864,1066.6666666666667,Laminar indicator,640.0,21.333333333333336,3.529199686126092,18.563590349023244,0.959134681578002,0.10251563145385519,1.9030581866808098,0.5320465599700771,0.41259841387245344,0.01646090534979424,0.03,0.6775947278561856,0.7240556332059798,206.01390830149495,-121.01390830149495,94.89362749044973,114.46384318777567,69.89362749044973,89.46384318777567,2.368,3.8361599999999996,FAIL
teertstra,2,30,2,80,80.0,1.0,26,25,76.00000000000001,3.75,0.0015,0.1248,0.004,0.1288,6.3566400000000005,10.8,0.003552,3.576864,479.99999999999994,Laminar indicator,256.0,6.4,1.827382052370825,24.03007398867635,0.926916598064156,0.11967919143840668,2.8758998251698737,0.8040282843210906,0.5524774199469484,0.01646090534979424,0.03,0.5060378937996145,0.5524987991494087,163.12469978735217,-78.12469978735217,94.89362749044973,114.46384318777567,69.89362749044973,89.46384318777567,2.368,10.103466666666668,FAIL
teertstra,2,30,2,100,80.0,1.0,26,25,76.00000000000001,3.75,0.0015,0.156,0.005000000000000001,0.161,6.3566400000000005,10.8,0.003552,3.576864,479.99999999999994,Laminar indicator,256.0,5.12,1.5544368508960673,20.440844589283284,0.9370092220751084,0.1511734386437169,3.090112765343769,0.8639167620976836,0.5784921012509592,0.01646090534979424,0.03,0.4832814646167745,0.5297423699665688,157.43559249164218,-72.43559249164218,94.89362749044973,114.46384318777567,69.89362749044973,89.46384318777567,2.368,12.629333333333333,FAIL
teertstra,2,30,2,120,80.0,1.0,26,25,76.00000000000001,3.75,0.0015,0.1872,0.006,0.1932,6.3566400000000005,10.8,0.003552,3.576864,479.99999999999994,Laminar indicator,256.0,4.266666666666667,1.3475443580222717,17.72020830799287,0.9448392084058619,0.18287389981357735,3.240563598791609,0.9059789801322077,0.5958539595714921,0.01646090534979424,0.03,0.4691997182713272,0.5156606236211214,153.91515590528036,-68.91515590528036,94.89362749044973,114.46384318777567,69.89362749044973,89.46384318777567,2.368,15.1552,FAIL
teertstra,2,30,2,150,80.0,1.0,26,25,76.00000000000001,3.75,0.0015,0.23399999999999999,0.0075,0.2415,6.3566400000000005,10.8,0.003552,3.576864,479.99999999999994,Laminar indicator,256.0,3.4133333333333336,1.1183281237586926,14.706014827426808,0.9537015202659026,0.2306661557422212,3.3921799065306466,0.9483670350705664,0.6126269260997694,0.01646090534979424,0.03,0.45635361106584593,0.5028145164156401,150.70362910391003,-65.70362910391003,94.89362749044973,114.46384318777567,69.89362749044973,89.46384318777567,2.368,18.944,FAIL
