model,V_channel_m_s,Hf_mm,b_mm,L_mm,W_mm,tf_mm,number_of_fins,number_of_channels,used_width_mm,Dh_mm,flow_area_m2,fin_side_area_m2,base_exposed_area_m2,total_geometric_area_m2,volumetric_flow_CFM,volumetric_flow_m3_h,m_dot_kg_s,C_air_W_K,Re_Dh,Re_note,Re_b,Re_star,Nu,h_W_m2K,eta_fin,A_eff_m2,hA_eff_W_K,NTU,epsilon,R_TIM_K_W,R_spreading_contact_base_K_W,R_hs_K_W,R_total_K_W,T_chip_C,thermal_margin_C,T_air_out_chip_C,T_air_out_full_board_C,deltaT_air_chip_K,deltaT_air_full_board_K,dynamic_pressure_Pa,pressure_drop_channel_Pa_approx,status
teertstra,5,50,3,120,80.0,1.0,20,19,77.0,5.660377358490566,0.00285,0.24,0.00684,0.24684,30.19404,51.300000000000004,0.016871999999999998,16.990104,1811.3207547169811,Laminar indicator,960.0000000000001,24.000000000000004,3.720343794298868,32.615013930020076,0.7780924509747047,0.19358218823392914,6.313685765853368,0.37160960085078754,0.3103765816263976,0.01646090534979424,0.03,0.1896334809233532,0.23609438627314744,84.02359656828686,0.9764034317131376,39.71444789272626,43.834493302689616,14.714447892726263,18.834493302689616,14.799999999999999,16.629279999999998,PASS
teertstra,5,50,3,150,80.0,1.0,20,19,77.0,5.660377358490566,0.00285,0.30000000000000004,0.00855,0.30855000000000005,30.19404,51.300000000000004,0.016871999999999998,16.990104,1811.3207547169811,Laminar indicator,960.0000000000001,19.200000000000003,3.363619316924843,29.487729345041124,0.7941549793626489,0.2467964938087947,7.277468212738856,0.4283357072292704,0.3484073662800874,0.01646090534979424,0.03,0.16893383225310113,0.21539473760289538,78.84868440072384,6.15131559927616,39.71444789272626,43.834493302689616,14.714447892726263,18.834493302689616,14.799999999999999,20.786599999999996,PASS
teertstra,6,30,2,150,80.0,1.0,26,25,76.00000000000001,3.75,0.0015,0.23399999999999999,0.0075,0.2415,19.069920000000003,32.400000000000006,0.010656,10.730592,1440.0,Laminar indicator,768.0,10.24,2.45057180669137,32.22501925799152,0.9048318873952385,0.2192306616504858,7.064712293629127,0.65837115917082,0.4823061109447109,0.01646090534979424,0.03,0.19322065635465824,0.23968156170445248,84.92039042611313,0.07960957388687007,48.29787583014991,54.821281062591886,23.297875830149913,29.821281062591886,21.311999999999998,56.831999999999994,PASS
teertstra,6,35,2,120,80.0,1.0,26,25,76.00000000000001,3.7837837837837838,0.0017500000000000003,0.21840000000000004,0.006,0.22440000000000004,22.248240000000006,37.80000000000001,0.012432000000000002,12.519024000000002,1452.972972972973,Laminar indicator,768.0,12.8,2.763057219251167,36.33420243315284,0.8623228478903869,0.19433130997926054,7.060873155886227,0.5640114721312321,0.43107773560919427,0.01646090534979424,0.03,0.18529936672506064,0.2317602720748549,82.94006801871373,2.059931981286269,44.96960785441421,50.561098053650184,19.969607854414207,25.561098053650184,21.311999999999998,44.6573387755102,PASS
teertstra,6,35,2,150,80.0,1.0,26,25,76.00000000000001,3.7837837837837838,0.0017500000000000003,0.273,0.0075,0.2805,22.248240000000006,37.80000000000001,0.012432000000000002,12.519024000000002,1452.972972972973,Laminar indicator,768.0,10.24,2.45057180669137,32.22501925799152,0.8755785765796774,0.24653295140625195,7.944529106795956,0.6345965234027793,0.46985065197406617,0.01646090534979424,0.03,0.17000813148188584,0.2164690368316801,79.11725920792003,5.8827407920799715,44.96960785441421,50.561098053650184,19.969607854414207,25.561098053650184,21.311999999999998,55.82167346938775,PASS
teertstra,6,40,2,100,80.0,1.0,26,25,76.00000000000001,3.8095238095238093,0.002,0.20800000000000002,0.005000000000000001,0.21300000000000002,25.426560000000002,43.2,0.014208,14.307456,1462.8571428571427,Laminar indicator,768.0,15.36,3.0269355981865047,39.804203116152536,0.8160270407040724,0.17473362446644708,6.95513267948398,0.4861194526465068,0.38499166144806674,0.01646090534979424,0.03,0.18154582160964025,0.2280067269594345,82.00168173985863,2.9983182601413745,42.47340687261243,47.36596079694392,17.47340687261243,22.365960796943916,21.311999999999998,36.713249999999995,PASS
teertstra,6,40,2,120,80.0,1.0,26,25,76.00000000000001,3.8095238095238093,0.002,0.24960000000000002,0.006,0.2556,25.426560000000002,43.2,0.014208,14.307456,1462.8571428571427,Laminar indicator,768.0,12.8,2.763057219251167,36.33420243315284,0.8287904594563147,0.21286609868029616,7.734319920605369,0.5405796754227564,0.4175894545758999,0.01646090534979424,0.03,0.16737402423495842,0.21383492958475267,78.45873239618817,6.541267603811832,42.47340687261243,47.36596079694392,17.47340687261243,22.365960796943916,21.311999999999998,44.0559,PASS
teertstra,6,40,2,150,80.0,1.0,26,25,76.00000000000001,3.8095238095238093,0.002,0.312,0.0075,0.3195,25.426560000000002,43.2,0.014208,14.307456,1462.8571428571427,Laminar indicator,768.0,10.24,2.45057180669137,32.22501925799152,0.844561724705147,0.27100325810800585,8.733085211508936,0.610387004615561,0.45685936953542094,0.01646090534979424,0.03,0.15298718194512323,0.19944808729491748,74.86202182372938,10.137978176270622,42.47340687261243,47.36596079694392,17.47340687261243,22.365960796943916,21.311999999999998,55.069874999999996,PASS
teertstra,6,40,3,150,80.0,1.0,20,19,77.0,5.5813953488372094,0.00228,0.24,0.00855,0.24855,28.9862784,49.248,0.01619712,16.31049984,2143.255813953488,Laminar indicator,1152.0,23.04,3.6533214573870163,32.02745144309284,0.8453387595087158,0.2114313022820918,6.77160576738958,0.41516850089307755,0.339770977848205,0.01646090534979424,0.03,0.18044566355051325,0.2269065689003075,81.72664222507687,3.2733577749231273,40.32754988825652,44.619263856968345,15.32754988825652,19.619263856968345,21.311999999999998,25.654875000000004,PASS
teertstra,6,50,2,80,80.0,1.0,26,25,76.00000000000001,3.846153846153846,0.0025,0.20800000000000002,0.004,0.21200000000000002,31.7832,54.0,0.017759999999999998,17.88432,1476.9230769230767,Laminar indicator,768.0,19.2,3.363619316924843,44.23159401756168,0.7248994663659997,0.15477908900412796,6.846125827238634,0.3828004546574113,0.3180510345502069,0.01646090534979424,0.03,0.17580481092110134,0.22226571627089559,80.5664290677239,4.433570932276098,38.97872549808995,42.892768637555136,13.97872549808995,17.892768637555136,21.311999999999998,28.813824000000004,PASS
