case,t_TIM_mm,k_TIM_W_mK,R_TIM_K_W,R_total_K_W,T_chip_C,thermal_margin_C,status
Thin low-k TIM,0.1,3.0,0.01646090534979424,0.19646090534979424,74.11522633744856,10.884773662551439,PASS
Baseline TIM,0.2,6.0,0.01646090534979424,0.19646090534979424,74.11522633744856,10.884773662551439,PASS
Thick high-k TIM,0.5,8.0,0.0308641975308642,0.2108641975308642,77.71604938271605,7.283950617283949,PASS
Degraded thick TIM,0.5,3.0,0.0823045267489712,0.2623045267489712,90.5761316872428,-5.576131687242807,FAIL
High-performance thin TIM,0.1,8.0,0.00617283950617284,0.18617283950617283,71.54320987654322,13.456790123456784,PASS
