geometry,orientation,Ts_C,Tsur_C,epsilon,n_fins,n_channels,Lbar,Hbar,Fs,h_ch_W_m2K,Nu_ch,Ra_star,h_exp_W_m2K,Nu_exp,Ra_exp,A_channel_m2,A_exposed_m2,Q_conv_channel_W,Q_rad_channel_W,Q_conv_exposed_W,Q_rad_exposed_W,Q_total_W,status,emissivity_case,chip_power_W
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,60.0,25.0,0.2,27,26,40.0,12.5,0.06000597506063472,1.106703113839591,0.08415993261137575,2.019838427845252,8.774921398919236,8.341180036995473,49312.46161731573,0.10816,0.01016,4.189535307751156,1.3107538020232858,3.1203620494556805,0.5088780399716959,9.12952919920182,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,60.0,25.0,0.5,27,26,40.0,12.5,0.06000597506063472,1.106703113839591,0.08415993261137575,2.019838427845252,8.774921398919236,8.341180036995473,49312.46161731573,0.10816,0.01016,4.189535307751156,1.5333555471229083,3.1203620494556805,1.2721950999292397,10.115448004258985,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,60.0,25.0,0.85,27,26,40.0,12.5,0.06000597506063472,1.106703113839591,0.08415993261137575,2.019838427845252,8.774921398919236,8.341180036995473,49312.46161731573,0.10816,0.01016,4.189535307751156,1.6083349174405774,3.1203620494556805,2.162731669879707,11.08096394452712,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,60.0,40.0,0.2,27,26,40.0,12.5,0.06000597506063472,0.647793691747458,0.04926187769942647,1.1822850647863588,7.764932825761457,7.381114853385417,28864.38146451072,0.10816,0.01016,1.4013073139881014,0.801975337392275,1.577834350194728,0.3113533885370873,4.092470390112192,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,60.0,40.0,0.5,27,26,40.0,12.5,0.06000597506063472,0.647793691747458,0.04926187769942647,1.1822850647863588,7.764932825761457,7.381114853385417,28864.38146451072,0.10816,0.01016,1.4013073139881014,0.9381726227671585,1.577834350194728,0.7783834713427181,4.695697758292706,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,60.0,40.0,0.85,27,26,40.0,12.5,0.06000597506063472,0.647793691747458,0.04926187769942647,1.1822850647863588,7.764932825761457,7.381114853385417,28864.38146451072,0.10816,0.01016,1.4013073139881014,0.9840482141369135,1.577834350194728,1.3232519012826207,5.286441779602364,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,60.0,50.0,0.2,27,26,40.0,12.5,0.06000597506063472,0.3292390336665018,0.025037188871977326,0.6008925329274558,6.667613956126159,6.338036079967832,14670.227854674215,0.10816,0.01016,0.3561049388136884,0.4195859039329129,0.6774295779424178,0.16289714518740708,1.616017565876426,FAIL,bare_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,60.0,50.0,0.5,27,26,40.0,12.5,0.06000597506063472,0.3292390336665018,0.025037188871977326,0.6008925329274558,6.667613956126159,6.338036079967832,14670.227854674215,0.10816,0.01016,0.3561049388136884,0.4908430342120664,0.6774295779424178,0.4072428629685177,1.9316204139366902,FAIL,treated_or_oxidized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,60.0,50.0,0.85,27,26,40.0,12.5,0.06000597506063472,0.3292390336665018,0.025037188871977326,0.6008925329274558,6.667613956126159,6.338036079967832,14670.227854674215,0.10816,0.01016,0.3561049388136884,0.5148447092958979,0.6774295779424178,0.69231286704648,2.2406920930984837,FAIL,black_anodized_aluminum,250.0
Compact baseline 80x80x25mm,best_vertical_channel_Hf_aligned,70.0,25.0,0.2,27,26,40.0,12.5,0.06000597506063472,1.4007150388239804,0.10651825390296428,2.556440265418095,9.263884542301973,8.805973899526592,62413.09241743396,0.10816,0.01016,6.817560236964078,1.769873541269762,4.235448012740463,0.6871235294445637,13.510005320418868,FAIL,bare_aluminum,250.0
